RCP_SNO,RCP_TTL,CKG_NM,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT
6957696,[불닭소스 표고버섯 요리] 밥반찬으로 딱!,불닭소스표고버섯,32865661,우수푸드,1160,0,42,굽기,일상,버섯류,밑반찬,이전에 올린 불닭소스 팽이버섯과 표고버섯은 밥한공기 뚝딱이네요~  다른 불닭소스 종류도 괜찮아요~ (표고버섯 레시피 영상은 중간쯤 2:11 부터 나옵니다) 사용한 표고버섯은 통통한 중간크기 입니다.,[재료] 표고버섯 6개| 식용유 2큰술 [양념장] 진간장 1큰술| 설탕 1큰술| 불닭소스 1큰술| 고추장 1큰술 [고명] 다진쪽파 1t| 통깨 1/2t,1인분,초급,30분이내,20210502171430 
6957702,요리하긴 간단하지만 별미가 되는 김치볶음 김밥 만들어 먹기,김치볶음김밥,sungis,뽀돌이7,1887,0,33,볶음,일상,가공식품류,밥/죽/떡,김치만 있으면 일반 김밥보다 시간도 얼마 걸리지 않고 맛있는 별미 음식이 완성 됩니다. 볶음김치김밥 레시피를 소개 합니다.,[재료] 김치 1/4 포기| 김밥김 5장| 참치통조림 1개| 밥 4인분| 참기름 적당량| 맛소금 적당량,4인분,아무나,30분이내,20210502200102 
6957707,수미반찬~통들깨묵은지조림,통들깨묵은지조림,37279613,왕눈이의맛있는이야기,787,0,15,조림,일상,채소류,밑반찬,수미반찬에서 소개되었던 기존묵은지조림에 통들깨를 넣어서 만든것이 생각이 나서 만들어봤어요 ,[재료] 묵은지 1포기| 통들깨 4큰술| 청양고추 2개| 다시육수 팩 1개 [양념] 국간장 2큰술| 올리브유 3큰술| 다진마늘 1큰술,5인분,아무나,60분이내,20210502203652 
6957711,고사리 쌀국수 볶음면,고사리쌀국수볶음면,23193230,Hisstory,566,0,3,볶음,일상,채소류,면/만두,집에 있는 고사리와 쌀국수 모두 좋아해서 간단히 먹을 수 있는 요리를 만들어 봤어요:) 아빠숟가락 기준입니다 !,[재료] 고사리 한 줌| 쌀국수 2줌| 진간장 1숟가락| 들기름 3숟가락| 참기름 1/2숟가락| 청양고추 1개| 대파 2숟가락 [양념] 국간장 1숟가락| 다진마늘 1숟가락,2인분,초급,15분이내,20210502220451 
6957718,아이들 입맛을 사로잡은 떡볶이 강정,떡볶이강정,90771425,luckydaddy,800,0,27,굽기,간식,가공식품류,기타,보통 떡볶이하면 매운 떡볶이를 많이 해드셨을거에요. 오늘은 고추장은 조금 들어가고 케첩이 많이 들어가 아이들 입맛을 사로잡은 떡볶이 강정을 만들어 보았어요. 만드는 법도 어렵지않으니 동영상과 함게 만들어보아요. Let's Go!,[재료] 떡볶이용 떡 3~4컵| 참기름 1큰술| 식용유 약간 [양념소스 재료] 고추장 1/2큰술| 케첩 5큰술| 간장 1큰술| 굴소스 1큰술| 올리고당 2큰술| 설탕 1큰술| 물 3큰술 [선택재료] 견과류 약간,3인분,아무나,,20210503002341 
6957727, 프랑스 시골빵 '캄파뉴(깜빠뉴) 만들기,캄파뉴,minja777711,빈티지홀릭,10077,0,50,굽기,간식,밀가루,빵,유럽의 대표적인 발효빵 중에 하나인 캄파뉴(깜빠뉴)는 시골 농가에서 정제하지 않는 호밀을 사용해 만든 유럽풍 컨츄리빵으로 거친 식감의  고소하고 담백한 맛의 시골빵 입니다  호밀 통밀 박력분 3가지를 섞어 만든거라 식감이 부드러워요 통밀빵.호밀빵 100%는  아주 거칠고 딱딱한지라 사 놓고 다 먹지 못하고 처치 곤란할때가 있는데 캄파뉴는  부드럽고 고소하고 씹을수록 담백 합니다 이제 날씨가 따뜻해져 가고 있으니 발효빵 만들기에 참 좋은 계절 입니다 ,[재료] 강력분 250g| 통밀가루 30g| 호밀가루 30g| 설탕 10g| 소금 5g| 드라이이스트 4g| 물 230~240ml,4인분,초급,2시간이내,20210503085622 
6957754,오뚜기 잎새만두 0.7mm의 얇은피 김치맛 먹어봤어요 :) ,잎새만두,sseunghyee,승혜의야미로그,575,0,5,굽기,야식,가공식품류,면/만두,오늘은 꽃잎과 조금 비슷하게 생긴  오뚜기 잎새만두를 리뷰하려고 해요 *^^*  속이 보이는 얇은피 오뚜기 잎새만두 먹어보기 ♥  우리 함께 김치맛으로 즐겨요 :) ,[재료] 오뚜기 잎새만두 김치 1봉,3인분,아무나,15분이내,20210504000251 
6957778,방아잎 요리 / 방아잎 된장버무리 (사찰 음식),방아잎된장버무리,62929808,요알남Mingstar,1099,0,13,무침,일상,채소류,밑반찬,방아라고 부르는 식물의 잎으로 독특한 향으로 향신료로 사용되어 식욕을 부르는 재료로 주로 우리나라에서는 쌈요리로 많이 사용한다.,[재료] 방아잎 60g [양념] 참깨 1Ts| 된장 1/2Ts| 매실액 1Ts| 들기름 1Ts,1인분,아무나,5분이내,20210504102815 
6957779, 방아잎 요리 / 방아잎 장떡,방아잎장떡,62929808,요알남Mingstar,861,0,4,부침,일상,채소류,밑반찬,방아라고 부르는 식물의 잎으로 독특한 향으로 향신료로 사용되어 식욕을 부르는 재료로 주로 우리나라에서는 쌈요리로 많이 사용한다.  00:50초 부터 보세요.,[재료] 방아잎 50g| 청양고추 1개| 부침가루 50g| 전분가루 1/2Ts| 물 80ml| 고추장 1Ts| 된장 1/2Ts| 식용유 3Ts,1인분,아무나,10분이내,20210504102833 
6989256,소고기수육,소고기수육,62929808,요알남Mingstar,1357,0,9,기타,일상,소고기,메인반찬,소고기 양지수육도 물 없이 무수분으로 만들 수 있습니다. ,[재료] 소고기 양지 400g| 된장 3숟가락| 맛술 1숟가락| 다진 마늘 1숟가락| 간장 1숟가락| 후춧가루 2꼬집| 대파 1대| 양파 1개| 미나리 100g,1인분,아무나,60분이내,20221012093454 
6957801,삼치솥밥 만들기,삼치솥밥,cuyss,유랑우탄,1761,0,16,끓이기,영양식,해물류,밥/죽/떡,간편하면서 맛과 건강 모두 챙길 수 있는 한 끼,[재료] 냉동 삼치 1개| 자른 다시마 1개| 자른 쪽파 3T,1인분,아무나,,20210504170328 
6957805,흰살 생선 요리 오븐구이 촉촉한 그 비법은!,흰살생선오븐구이,mamounette,마무네뜨,7867,0,34,굽기,일상,해물류,양식,오븐으로 초간단 촉촉하고 부드럽게 있어보이는 비주얼로 흰살 생선 스테이크를 만드는 방법이에요.,[재료] 대구 필렛 흰살생선 2조각| 소금 1꼬집| 후추 1꼬집| 케이엔페퍼 또는 파프리카가루 1꼬집| 레몬즙 1 티스푼| 올리브유 2 큰숟가락,2인분,초급,,20210504175113 
6957812,스테이크 가니쉬  사이드 채소 요리 레귐 글라세 우아해~,레귐글라세,mamounette,마무네뜨,1492,0,17,기타,일상,채소류,양식,프랑스식으로 만든 윤기 좌르르 흐르는 고급스러운 스테이크 가니쉬에요. 고기  생선 모두 잘 어울려요. 레시피 요약은 짧게 당근만 할게요.,[재료] 채소 250g| 무가염 버터 15g| 설탕 1 티스푼| 소금 1/4 티스푼| 물 100ml 정도,2인분,중급,,20210504190420 
6957821,돼지고기 다짐 육 간장 볶음~,돼지고기다짐육간장볶음,62299079,밥차리라,33280,0,1863,볶음,일상,돼지고기,밑반찬,쉽고 간단한 아이들 반찬  김가루 솔솔~ 뿌려 밥비벼 먹어도 맛있다지요~,[재료] 돼지고기다짐육 300g| 카놀라유 약간 [양념] 다진마늘 1/2스푼| 간장 1큰술| 굴소스 1큰술| 후추 톡톡| 올리고당 1큰술| 통깨 약간,3인분,아무나,30분이내,20210504223650 
